TERM, rolestring, attrstring, WEIGHT, FREQ, NUMDOCS, KEEP, Rank, topic1, topic2, topic3, topic4, topic5, topic6, topic7, topic8, topic9, topic10, topic11, topic12, topic13, topic14, topic15, topic16, topic17, topic18, _termid, 
charity, Noun, Alpha, 0.7268306239, 6, 4, Y, 29, -0.029, 0.001, 0.001, -0.001, -0.007, 0, 0.346, -0.015, -0.002, 0, -0.001, 0, 0, -0.019, 0, -0.006, -0.022, 0, 415, 
chgtb, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 306, 
chiang, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.474, 89, 
city, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, -0.002, 0, 0, 0, -0.001, 0, -0.01, 0.38, 0, 0, 0.001, 0, 0, -0.004, 0, -0.001, -0.006, 0, 289, 
collected, Adj, Alpha, 0.7151957782, 4, 4, Y, 29, -0.005, 0, 0, -0.003, 0, 0.001, -0.026, 0.002, 0, 0, 0.455, 0, 0, -0.001, 0, -0.002, -0.015, 0, 230, 
collected several, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, -0.005, 0, 0, -0.003, 0, 0.001, -0.026, 0.002, 0, 0, 0.455, 0, 0, -0.001, 0, -0.002, -0.015, 0, 15, 
cozy, Adj, Alpha, 0.7151957782, 4, 4, Y, 29, -0.023, 0, 0, 0.011, -0.003, -0.001, 0.002, -0.003, 0.004, 0, 0.037, 0, 0, 0.177, 0, 0.006, 0.065, 0, 447, 
cut-offs, Prop, Mixed, 0.7151957782, 4, 4, Y, 29, -0.012, -0.004, 0.001, 0, 0.26, 0.001, -0.006, -0.001, -0.002, 0, -0.001, 0, 0, -0.006, 0, -0.005, 0.019, 0, 310, 
daily, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, -0.001, 0, 0, 0.211, 0, 0, -0.001, 0, 0, 0, -0.001, 0, 0, -0.001, 0, -0.001, -0.003, 0, 476, 
danny, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.474, 331, 
der, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 
die, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 412, 
dm-hallo, Prop, Mixed, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 215, 
