"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message"
"266351330231_779174707587256/266351330231_773906281447432/266351330231_773906281447432","52","13","2","266351330231_773906281447432","offcut","","fetched (200)","2024-03-05 19:33:39.424294","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_773906281447432/266351330231_773906281447432","109","13","2","266351330231_773906281447432","empty","","fetched (200)","2024-03-05 19:33:50.326640","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_773906281447432/266351330231_773906281447432","110","13","2","266351330231_773906281447432","offcut","","fetched (200)","2024-03-05 19:33:50.326640","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_773843551453705","14","1","1","266351330231_773843551453705","data","data.*","fetched (200)","2024-03-05 19:32:53.632896","Facebook:/<page-id>/posts","To celebrate the holidays, UNIQLO's 5th Avenue Global Flagship store in NYC hosted a special card-making workshop for children in need where they met Snoopy!   Peanuts is one of the collaborators of UNIQLO's T-shirt charity project. All proceeds from this charity project will be donated to international organizations supporting people worldwide.  Find the full collection online here: https://bit.ly/3NyGBVH","2023-12-22T16:50:09+0000","","",""
"266351330231_779174707587256/266351330231_773843551453705/266351330231_773843551453705","53","14","2","266351330231_773843551453705","data","data.*","fetched (200)","2024-03-05 19:33:39.828020","Facebook:/<post-id>/comments","What the hell babe???","2023-12-22T16:59:34+0000","","",""
"266351330231_779174707587256/266351330231_773843551453705/266351330231_773843551453705","54","14","2","266351330231_773843551453705","offcut","","fetched (200)","2024-03-05 19:33:39.828020","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_773843551453705/266351330231_773843551453705","111","14","2","266351330231_773843551453705","data","data.*","fetched (200)","2024-03-05 19:33:50.632944","Facebook:/<post-id>/comments","What the hell babe???","2023-12-22T16:59:34+0000","","",""
"266351330231_779174707587256/266351330231_773843551453705/266351330231_773843551453705","112","14","2","266351330231_773843551453705","offcut","","fetched (200)","2024-03-05 19:33:50.632944","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_773303151507745","15","1","1","266351330231_773303151507745","data","data.*","fetched (200)","2024-03-05 19:32:53.632896","Facebook:/<page-id>/posts","The long-loved fleece collection is perfect for everyday style, warmth + (of course) comfort!   Shop the 50+ options in stores + online here: https://bit.ly/3NsYftA  #Uniqlousa","2023-12-21T21:12:21+0000","","",""
"266351330231_779174707587256/266351330231_773303151507745/266351330231_773303151507745","55","15","2","266351330231_773303151507745","empty","","fetched (200)","2024-03-05 19:33:40.291619","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_773303151507745/266351330231_773303151507745","56","15","2","266351330231_773303151507745","offcut","","fetched (200)","2024-03-05 19:33:40.291619","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_773303151507745/266351330231_773303151507745","113","15","2","266351330231_773303151507745","empty","","fetched (200)","2024-03-05 19:33:50.942670","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_773303151507745/266351330231_773303151507745","114","15","2","266351330231_773303151507745","offcut","","fetched (200)","2024-03-05 19:33:50.942670","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_773098801528180","16","1","1","266351330231_773098801528180","data","data.*","fetched (200)","2024-03-05 19:32:53.632896","Facebook:/<page-id>/posts","Dive into the rich world of Katsushika Hokusai's iconic ukiyo-e prints from the collection of the Museum of Fine Arts, Boston!  UNIQLO and MFA's continued partnership brings the Museum's timeless pieces to life through the canvas of a T-shirt.  Find the full collection in stores + online here: https://bit.ly/3RnN1b5","2023-12-21T14:31:28+0000","","",""
"266351330231_779174707587256/266351330231_773098801528180/266351330231_773098801528180","57","16","2","266351330231_773098801528180","data","data.*","fetched (200)","2024-03-05 19:33:40.763330","Facebook:/<post-id>/comments","Coming to The Nelson-Atkins Museum of Art in 2024! Time to visit Kansas City","2023-12-22T05:23:41+0000","","",""
"266351330231_779174707587256/266351330231_773098801528180/266351330231_773098801528180","58","16","2","266351330231_773098801528180","data","data.*","fetched (200)","2024-03-05 19:33:40.763330","Facebook:/<post-id>/comments","Amazing day for the team once again ✅💹🤑💰. Swipe right to see more of today’s profit rolling in  if you’re interested in copying our EXACT trade shoot me a DM-Hallo, entschuldigen Sie die Unannehmlichkeiten mit Ihrem Konto. Ich garantiere 💯prozentige Sicherheit bei der Wiederherstellung Ihres Kontos. Schicken Sie mir eine Nachricht zur Genesung❤️💯✔️","2023-12-21T21:34:01+0000","","",""
"266351330231_779174707587256/266351330231_773098801528180/266351330231_773098801528180","59","16","2","266351330231_773098801528180","offcut","","fetched (200)","2024-03-05 19:33:40.763330","Facebook:/<post-id>/comments","","","","",""
